id,title,job_class,dormancy_status,num_subscribers,dormancy_score,RPS,full_price
2688968,Create a 3-Statement Budget Model in Excel,JC-3 Basic,Low Engagement,95,10,0.6505,7680.0
2583948,Algorithmic Trading With TradeStation,JC-3 Basic,Low Engagement,90,10,0.6505,8640.0
2728816,Futures Trading For Beginners: Stock/Forex/Commodity/Crypto,JC-3 Basic,Low Engagement,94,10,0.6505,8640.0
2523514,Trading Psychology: Think Like A Trader And Make More Money,JC-3 Basic,Low Engagement,94,10,0.6505,8320.0
2826409,Undervalued Stocks Investing - Beginners Guide,JC-3 Basic,Low Engagement,91,10,0.6505,1920.0
2754542,Certified Fraud Examiner(CFE) Practice Test 2020.,JC-3 Basic,Low Engagement,101,10,0.6505,6400.0
3369594,Learn TradingView Pine Script Programming From Scratch,JC-3 Basic,Low Engagement,96,10,0.6505,6400.0
3001950,The Actuarial Science Collection,JC-3 Basic,Low Engagement,94,10,0.6505,1920.0
3095996,Formação de Auditores Internos – Módulo I,JC-3 Basic,Low Engagement,97,10,0.6505,4480.0
3089798,START: Primeiro investimento e finanças pessoais,JC-3 Basic,Low Engagement,98,10,0.6505,2560.0
2635480,Chartanalyse- Werde zum Trader,JC-3 Basic,Low Engagement,96,10,0.6505,8640.0
3182618,CPA 20 ANBIMA Completo - Trabalhe no Mercado Financeiro.,JC-3 Basic,Low Engagement,99,10,0.6505,8640.0
2633696,COMO MONTAR UMA CARTEIRA DE AÇÕES,JC-3 Basic,Low Engagement,97,10,0.6505,2560.0
867498,▷ Trading de Alta Probabilidad: 【Forex y Bolsa de NY】,JC-3 Basic,Low Engagement,91,10,0.6505,3200.0
2730188,GMP for Food Safety (Foundational course for ISO 22000),JC-3 Basic,Low Engagement,82,10,0.6504,8320.0
2169886,Professional Email Writing - A NEW ACTIVITY-BASED TRAINING,JC-3 Basic,Low Engagement,77,10,0.6504,1280.0
