id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,created,published_time,discount_price__amount,discount_price__currency,discount_price__price_string,price_detail__amount,price_detail__currency,price_detail__price_string
483576,Craigslist Mastery: Comprehensive Guide to Offline Arbitrage,/course/craigslist/,True,966,4.9,4.8805,4.8805,13,False,28,0,2015-04-22T19:00:38Z,2015-05-01T20:56:22Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,/course/make-consistent-profit-using-pullback-candlestick-strategy/,True,798,3.5,3.64994,3.64994,114,False,24,0,2015-08-30T22:22:20Z,2016-02-24T17:30:41Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
605206,meSE Sales Engineer Certification Coursework,/course/mesecert/,True,282,4.2,4.25866,4.25866,88,False,8,0,2015-09-07T20:48:38Z,2015-12-11T22:59:55Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
629344,Advanced: Make and Sell Custom Shirts Using Merch by Amazon,/course/merchbyamazon/,True,23909,4.85,4.58013,4.58013,860,False,74,0,2015-10-03T03:06:41Z,2015-10-11T18:36:15Z,,,,6400.0,INR,"₹6,400"
665152,Mastering Agile Scrum Project Management,/course/mastering-agile-scrum-project-management-pmi-rep/,True,26047,4.27826,4.28871,4.28871,4163,False,301,0,2015-11-09T20:55:22Z,2015-12-20T00:46:28Z,,,,12800.0,INR,"₹12,800"
680626,Learn This Amazing Prospecting / Cold Calling Method Today!,/course/how-to-effectively-prospect-cold-call-and-make-more-money/,True,1598,4.05,4.05478,4.05478,46,False,42,0,2015-11-25T16:04:24Z,2015-11-29T20:52:43Z,455.0,INR,₹455,4800.0,INR,"₹4,800"
741466,Ontologies for Business Analysis,/course/ontologies-for-business-analysis/,True,1745,4.28409,4.23109,4.23109,361,False,33,0,2016-01-25T21:02:17Z,2016-02-26T18:25:10Z,455.0,INR,₹455,6400.0,INR,"₹6,400"
745236,Kingdom Economics & Business Principles,/course/kingdom-economics-business-principles/,True,4,4.5,4.5,4.5,1,False,18,0,2016-01-28T21:30:23Z,2016-02-02T05:18:02Z,,,,6400.0,INR,"₹6,400"
785356,Winning College Scholarships,/course/winning-college-scholarships-d/,True,186,4.25,4.40165,4.40165,32,False,20,0,2016-03-07T20:18:28Z,2016-03-23T06:05:51Z,455.0,INR,₹455,1920.0,INR,"₹1,920"
799328,Inspire to Boost Sales: How to Write a Compelling Case Study,/course/how-to-write-a-compelling-case-study-in-5-easy-steps/,True,1740,4.45,4.38765,4.38765,54,False,13,0,2016-03-21T02:57:06Z,2016-04-12T01:39:20Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
922610,Mastering QuickBooks Essentials 2013,/course/mastering-quickbooks-essentials-2013/,True,3,3.0,3.0,3.0,2,False,44,0,2016-08-03T21:23:45Z,2016-08-03T23:49:57Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
939884,Why Invest in Stocks? Buy LEAPS Options - It's  Much Cheaper,/course/why-invest-in-stocks-buy-leaps-its-so-much-cheaper/,True,712,3.9,3.76453,3.76453,50,False,52,0,2016-08-24T15:47:05Z,2016-09-16T17:06:02Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
946788,Introduction to Organization Change - Getting Started,/course/leading-change-getting-started/,True,1669,3.65,3.65861,3.65861,23,False,29,0,2016-08-31T23:52:30Z,2016-09-18T21:59:28Z,455.0,INR,₹455,1600.0,INR,"₹1,600"
952186,Skillshare Success #2: Maximize 2017 Premium Students Enroll,/course/skillshare-success-2-maximize-premium-students-enrollments/,True,1618,4.8,4.69439,4.69439,5,False,15,0,2016-09-07T06:52:03Z,2016-09-07T19:04:48Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
997596,Amazon Kindle Publishing Masterclass - Self-publish an eBook,/course/amazon-kindle-publishing-masterclass/,True,1828,4.4,4.35462,4.35462,104,False,162,0,2016-10-29T12:02:27Z,2016-11-03T22:37:25Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1040480,Alteryx: Self-Service Analytics In Your Hands,/course/alteryx-self-service-analytics-in-your-hands/,True,4542,4.45052,4.42193,4.42193,1257,False,21,0,2016-12-14T01:39:37Z,2017-01-04T22:48:34Z,468.0,INR,₹468,4800.0,INR,"₹4,800"
1049154,SAP Financial Accounting and Controlling Super User Training,/course/sap-financial-accounting-and-controlling-super-user-training/,True,3746,3.94937,3.92227,3.92227,754,False,23,0,2016-12-22T20:56:06Z,2016-12-27T16:41:23Z,455.0,INR,₹455,4480.0,INR,"₹4,480"
1102606,Quickbooks Basic to Advance Training Course in Hindi Urdu,/course/quickbooks-training-in-urdu-hindi/,True,185,4.3,4.21529,4.21529,57,False,111,0,2017-02-04T22:08:48Z,2017-04-13T17:57:09Z,455.0,INR,₹455,7360.0,INR,"₹7,360"
